 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.11520E-01      -0.26549E-01      -0.73907E-01      -0.52533E+00      -0.11161E+00       0.24294E+01
      0      1      -0.35072E-01      -0.30302E-02       0.88036E-01       0.75447E+00       0.32546E-01       0.22584E+01
      0      1       0.13852E-01      -0.28245E-01       0.24491E+00       0.12496E+01       0.14175E+00       0.47704E+00
      0      1       0.33178E-01      -0.71279E-02       0.20557E-01       0.17213E+01       0.26697E+00       0.17260E+01
      0      1      -0.28731E-01      -0.29949E-03       0.90385E-01       0.10329E+01       0.45110E-01      -0.36078E+01
      0      1       0.98883E-02       0.27630E-02       0.40622E-01       0.35479E+01       0.98712E-01       0.30075E+01
      0      1      -0.33138E-01      -0.24153E-01       0.18352E+00       0.31158E+01      -0.14847E+00      -0.85526E+00
      0      1      -0.85576E-02      -0.39544E-01       0.13929E+00       0.19803E+01      -0.75964E-01      -0.14635E+01
      0      1       0.11115E-01       0.35987E-01      -0.40063E-01      -0.54068E+00      -0.19895E+00      -0.25584E+01
      0      1       0.29826E-02      -0.16690E-01      -0.42800E-01       0.18721E+01       0.18915E+00       0.30627E+01
      0      1       0.31332E-01       0.15597E-01       0.40085E-01      -0.12021E+01      -0.22530E-01       0.53132E+00
      0      1      -0.88466E-01      -0.12428E-01      -0.89916E-01       0.14939E+01       0.76737E-01       0.22730E+01
      0      1       0.10570E-02       0.21888E-02      -0.80587E-02       0.76001E+00       0.15267E+00      -0.74251E+00
      0      1       0.55129E-01       0.16523E-01       0.63738E-01       0.45523E+00      -0.28801E+00      -0.29270E+01
      0      1      -0.25148E-01       0.37656E-02      -0.78901E-01       0.36719E+00      -0.23949E+00      -0.24393E+01
      0      1       0.16219E-01       0.13774E-01       0.26880E-01       0.24989E+01       0.25349E+00       0.29031E+01
      0      1       0.78670E-01      -0.72525E-03       0.43130E-01      -0.90651E+00      -0.11093E+00      -0.69814E+00
      0      1       0.21014E-01       0.41217E-01      -0.13670E+00       0.49470E+00       0.15998E-01      -0.63086E+00
      0      1      -0.35804E-01      -0.14315E-01       0.12202E+00       0.26019E+01      -0.13058E+00      -0.29548E+01
      0      1       0.47456E-01       0.10356E-03       0.12345E+00       0.14432E+01      -0.61223E-01      -0.21424E+01
      0      1      -0.58401E-01      -0.22116E-01      -0.11690E-01      -0.17755E+01      -0.13268E+00      -0.37452E+01
      0      1      -0.36955E-01       0.20940E-01       0.36592E-01       0.29716E+00      -0.90626E-01       0.92627E+00
      0      1       0.67530E-01       0.10313E-01       0.98918E-01       0.14156E+01       0.12412E+00      -0.15709E+01
      0      1       0.72866E-02      -0.25685E-01       0.27303E+00       0.60597E+00      -0.85039E-01      -0.15285E+00
      0      1      -0.47268E-01      -0.53249E-02       0.13703E-01      -0.93612E+00      -0.33073E+00      -0.25525E+01
