n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn98.9[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn98.9[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn98.9[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  20  updat  0.213846E+01   0.513882E+01   0.151970E-01   0.132951E+00   0.132933E+00   0.359004E+00   0.353972E+00   0.324617E+01   0.999614E+01   0.337129E-02      0.124247E+00        0.199256E+00        0.238916E+00        0.126113E+00        0.197410E+00        0.247382E+00        0.311944E+01        0.507896E+01        0.781379E+01     0.288738E-03  -0.915639E-02   0.505009E-03   0.230771E-01   0.105177E+00  -0.235381E+00  -0.590336E+00   0.598517E-01  -0.567347E+00   0.589508E-01  -0.720474E+00      0.118677E+02     0.000000E+00    0.100010E+05
  21  drift  0.214366E+01   0.513882E+01   0.151970E-01   0.133638E+00   0.133604E+00   0.361399E+00   0.354881E+00   0.323671E+01   0.996948E+01   0.337129E-02      0.124247E+00        0.199256E+00        0.238916E+00        0.126113E+00        0.197410E+00        0.247382E+00        0.311944E+01        0.507898E+01        0.781381E+01     0.283977E-03  -0.915639E-02   0.517009E-03   0.230771E-01   0.105177E+00  -0.236006E+00  -0.602052E+00   0.604718E-01  -0.579007E+00   0.595469E-01  -0.714316E+00      0.117986E+02     0.000000E+00    0.100010E+05
  22  sol3d  0.254366E+01   0.513882E+01   0.151970E-01   0.137691E+00   0.138439E+00   0.379459E+00   0.369844E+00   0.270872E+01   0.792068E+01   0.337129E-02      0.124124E+00        0.195289E+00        0.237867E+00        0.126260E+00        0.195347E+00        0.232556E+00        0.311922E+01        0.507422E+01        0.780649E+01     0.424657E-03  -0.662889E-02   0.967413E-03   0.771598E-02   0.105177E+00  -0.276441E+00   0.512794E+00   0.642601E-01   0.520348E+00   0.638608E-01  -0.240562E+00      0.826390E+01     0.000000E+00    0.100010E+05
  23  drift  0.257426E+01   0.513882E+01   0.151970E-01   0.134489E+00   0.135150E+00   0.369741E+00   0.361349E+00   0.268801E+01   0.778026E+01   0.337129E-02      0.124124E+00        0.195289E+00        0.237867E+00        0.126260E+00        0.195347E+00        0.232556E+00        0.311923E+01        0.507440E+01        0.780676E+01     0.404372E-03  -0.662889E-02   0.991024E-03   0.771598E-02   0.105177E+00  -0.280165E+00   0.452653E+00   0.613059E-01   0.459458E+00   0.608626E-01  -0.204320E+00      0.813796E+01     0.000000E+00    0.100010E+05
  24  cav    0.282426E+01   0.629556E+01  -0.161003E-01   0.129106E+00   0.130199E+00   0.342977E+00   0.341664E+00   0.211902E+01   0.605107E+01   0.512685E-02      0.124300E+00        0.197089E+00        0.241235E+00        0.126385E+00        0.196411E+00        0.232439E+00        0.310823E+01        0.487837E+01        0.696909E+01     0.748261E-04  -0.731991E-02   0.135657E-02   0.298081E-01   0.116469E+00  -0.278919E+00  -0.455327E+00   0.624733E-01  -0.441317E+00   0.624869E-01  -0.112447E+01      0.621962E+01     0.000000E+00    0.100010E+05
  25  matrx  0.282426E+01   0.629556E+01  -0.161003E-01   0.129106E+00   0.130199E+00   0.342977E+00   0.341664E+00   0.211902E+01   0.605107E+01   0.512685E-02      0.124300E+00        0.197089E+00        0.241235E+00        0.126385E+00        0.196411E+00        0.232439E+00        0.310823E+01        0.487837E+01        0.696909E+01     0.748261E-04  -0.731991E-02   0.135657E-02   0.298081E-01   0.116469E+00  -0.278919E+00  -0.455327E+00   0.624733E-01  -0.441317E+00   0.624869E-01  -0.112447E+01      0.621962E+01     0.000000E+00    0.100010E+05
  26  updat  0.282426E+01   0.629556E+01  -0.161003E-01   0.129106E+00   0.130199E+00   0.342977E+00   0.341664E+00   0.211902E+01   0.605107E+01   0.512685E-02      0.124300E+00        0.197089E+00        0.241235E+00        0.126385E+00        0.196411E+00        0.232439E+00        0.310823E+01        0.487837E+01        0.696909E+01     0.748261E-04  -0.731991E-02   0.135657E-02   0.298081E-01   0.116469E+00  -0.278919E+00  -0.455327E+00   0.624733E-01  -0.441317E+00   0.624869E-01  -0.112447E+01      0.621962E+01     0.000000E+00    0.100010E+05
  27  drift  0.282946E+01   0.629556E+01  -0.161003E-01   0.129600E+00   0.130681E+00   0.344563E+00   0.342592E+00   0.210244E+01   0.599941E+01   0.512685E-02      0.124300E+00        0.197089E+00        0.241235E+00        0.126385E+00        0.196411E+00        0.232439E+00        0.310824E+01        0.487884E+01        0.696977E+01     0.710197E-04  -0.731991E-02   0.137207E-02   0.298081E-01   0.116469E+00  -0.278089E+00  -0.465376E+00   0.629520E-01  -0.451260E+00   0.629511E-01  -0.110866E+01      0.612268E+01     0.000000E+00    0.100010E+05
  28  sol3d  0.322946E+01   0.629556E+01  -0.161003E-01   0.135476E+00   0.134136E+00   0.366417E+00   0.353357E+00   0.141621E+01   0.381876E+01   0.512685E-02      0.125133E+00        0.195845E+00        0.244196E+00        0.125504E+00        0.193969E+00        0.234546E+00        0.310816E+01        0.488744E+01        0.701212E+01     0.673705E-03  -0.567044E-02   0.178186E-02  -0.115713E-02   0.116469E+00  -0.209194E+00   0.365164E+00   0.683321E-01   0.371256E+00   0.667891E-01   0.107241E+00      0.277818E+01     0.000000E+00    0.100010E+05
  29  drift  0.326006E+01   0.629556E+01  -0.161003E-01   0.133399E+00   0.131998E+00   0.356054E+00   0.349822E+00   0.143610E+01   0.389489E+01   0.512685E-02      0.125133E+00        0.195845E+00        0.244196E+00        0.125504E+00        0.193969E+00        0.234546E+00        0.310819E+01        0.489021E+01        0.701609E+01     0.656353E-03  -0.567044E-02   0.177832E-02  -0.115713E-02   0.116469E+00  -0.204341E+00   0.314412E+00   0.662526E-01   0.319125E+00   0.646766E-01   0.200235E+00      0.285674E+01     0.000000E+00    0.100010E+05
  30  cav    0.351006E+01   0.766242E+01  -0.184216E-01   0.129916E+00   0.129418E+00   0.347397E+00   0.346889E+00   0.164567E+01   0.446652E+01   0.365667E-02      0.125076E+00        0.195048E+00        0.242597E+00        0.125442E+00        0.193761E+00        0.233166E+00        0.310020E+01        0.487357E+01        0.678770E+01     0.333949E-03  -0.774939E-02   0.185631E-02   0.207392E-01   0.128540E+00  -0.174711E+00  -0.460195E+00   0.693828E-01  -0.456578E+00   0.686504E-01   0.186067E+00      0.457770E+01     0.000000E+00    0.100010E+05
  31  matrx  0.351006E+01   0.766242E+01  -0.184216E-01   0.129916E+00   0.129418E+00   0.347397E+00   0.346889E+00   0.164567E+01   0.446652E+01   0.365667E-02      0.125076E+00        0.195048E+00        0.242597E+00        0.125442E+00        0.193761E+00        0.233166E+00        0.310020E+01        0.487357E+01        0.678770E+01     0.333949E-03  -0.774939E-02   0.185631E-02   0.207392E-01   0.128540E+00  -0.174711E+00  -0.460195E+00   0.693828E-01  -0.456578E+00   0.686504E-01   0.186067E+00      0.457770E+01     0.000000E+00    0.100010E+05
  32  updat  0.351006E+01   0.766242E+01  -0.184216E-01   0.129916E+00   0.129418E+00   0.347397E+00   0.346889E+00   0.164567E+01   0.446652E+01   0.365667E-02      0.125076E+00        0.195048E+00        0.242597E+00        0.125442E+00        0.193761E+00        0.233166E+00        0.310020E+01        0.487357E+01        0.678770E+01     0.333949E-03  -0.774939E-02   0.185631E-02   0.207392E-01   0.128540E+00  -0.174711E+00  -0.460195E+00   0.693828E-01  -0.456578E+00   0.686504E-01   0.186067E+00      0.457770E+01     0.000000E+00    0.100010E+05
  33  drift  0.351526E+01   0.766242E+01  -0.184216E-01   0.130368E+00   0.129869E+00   0.348496E+00   0.347888E+00   0.164836E+01   0.447035E+01   0.365667E-02      0.125076E+00        0.195048E+00        0.242597E+00        0.125442E+00        0.193761E+00        0.233166E+00        0.310019E+01        0.487361E+01        0.678776E+01     0.329920E-03  -0.774939E-02   0.186709E-02   0.207392E-01   0.128540E+00  -0.173914E+00  -0.469277E+00   0.698661E-01  -0.465732E+00   0.691300E-01   0.194953E+00      0.459267E+01     0.000000E+00    0.100010E+05
  34  sol3d  0.391526E+01   0.766242E+01  -0.184216E-01   0.142468E+00   0.141344E+00   0.374315E+00   0.387432E+00   0.215339E+01   0.577753E+01   0.365667E-02      0.126217E+00        0.197089E+00        0.246979E+00        0.124490E+00        0.199158E+00        0.239949E+00        0.309989E+01        0.487027E+01        0.679257E+01     0.792212E-03  -0.118433E-01   0.196183E-02  -0.411949E-02   0.128540E+00  -0.109322E+00   0.192178E+00   0.826835E-01   0.186544E+00   0.825125E-01   0.878547E+00      0.783879E+01     0.000000E+00    0.100010E+05
  35  drift  0.394586E+01   0.766242E+01  -0.184216E-01   0.141553E+00   0.140464E+00   0.375633E+00   0.384318E+00   0.221013E+01   0.590219E+01   0.365667E-02      0.126217E+00        0.197089E+00        0.246979E+00        0.124490E+00        0.199158E+00        0.239949E+00        0.309986E+01        0.487060E+01        0.679302E+01     0.755972E-03  -0.118433E-01   0.194922E-02  -0.411949E-02   0.128540E+00  -0.104684E+00   0.153802E+00   0.816248E-01   0.148168E+00   0.814882E-01   0.930849E+00      0.825739E+01     0.000000E+00    0.100010E+05
  36  cav    0.419586E+01   0.901278E+01  -0.177105E-01   0.141735E+00   0.141878E+00   0.393323E+00   0.375375E+00   0.243845E+01   0.673213E+01   0.210658E-02      0.126411E+00        0.197976E+00        0.244114E+00        0.124628E+00        0.199391E+00        0.241979E+00        0.309808E+01        0.482283E+01        0.632087E+01     0.316100E-03  -0.139780E-01   0.188934E-02   0.124122E-01   0.139457E+00  -0.779175E-01  -0.516771E+00   0.886482E-01  -0.527831E+00   0.900977E-01  -0.210787E+00      0.118298E+02     0.000000E+00    0.100010E+05
  37  matrx  0.419586E+01   0.901278E+01  -0.177105E-01   0.141735E+00   0.141878E+00   0.393323E+00   0.375375E+00   0.243845E+01   0.673213E+01   0.210658E-02      0.126411E+00        0.197976E+00        0.244114E+00        0.124628E+00        0.199391E+00        0.241979E+00        0.309808E+01        0.482283E+01        0.632087E+01     0.316100E-03  -0.139780E-01   0.188934E-02   0.124122E-01   0.139457E+00  -0.779175E-01  -0.516771E+00   0.886482E-01  -0.527831E+00   0.900977E-01  -0.210787E+00      0.118298E+02     0.000000E+00    0.100010E+05
